RTIO_Y, 51.9753 58.8752 42.5426;      
RTIO_Z, 89.4568 95.9794 85.4254;      
LFEP_X, 75.6354 185.6242 -37.0444;    
LFEP_Y, 179.1602 239.8312 77.1288;    
LFEP_Z, 1044.1927 1065.0809 1027.9619;
LFEO_X, 51.4506 112.3779 -11.557;     
LFEO_Y, 150.4264 217.202 109.6954;    
LFEO_Z, 565.0966 588.8827 549.0884;   
LTIO_X, 42.3075 52.2968 29.3417;      
LTIO_Y, 60.2832 70.9401 52.6544;      
LTIO_Z, 88.8303 112.539 82.4725;      
LHipAng_X, -1.2791 8.8569 -8.7156;    
LHipAng_Y, -0.8158 5.0534 -5.7528;    
LHipAng_Z, -10.9503 -3.044 -17.6658;  
LKneAng_X, 7.3591 26.9559 -0.39279;   
LKneAng_Y, -0.03026 3.4221 -6.5202;   
LKneAng_Z, -38.0715 -28.7652 -44.3458;
LAnkAng_X, 13.683 29.6405 -0.91171;   
LAnkAng_Y, -16.2858 -9.6265 -28.817;  
LAnkAng_Z, 40.0486 56.4449 26.3784;   
RHipAng_X, -1.7635 8.2283 -7.3137;    
RHipAng_Y, -3.8802 0.36194 -9.2912;   
RHipAng_Z, -6.9728 -3.3913 -11.9842;  
RKneAng_X, 7.9554 26.8363 -0.078745;  
RKneAng_Y, 0.49214 4.5512 -5.5104;    
RKneAng_Z, -27.5496 -21.4696 -33.2934;
RAnkAng_X, 12.9639 23.0588 7.3097;    
RAnkAng_Y, -8.5738 -4.0012 -14.9886;  
RAnkAng_Z, 26.2538 40.5656 13.4627;   
LShdAng_X, 22.4454 48.3287 -0.19879;  
LShdAng_Y, 8.6501 23.4197 0.84392;    
LShdAng_Z, 28.9587 46.128 2.4239;     
LElbAng_X, 120.2173 137.5681 108.0616;
LElbAng_Y, 0 0 0;                     
LElbAng_Z, 0 0 0;                     
LWrsAng_X, -3.405 11.6961 -25.4909;   
LWrsAng_Y, 10.5038 26.6425 -18.596;   
LWrsAng_Z, 130.3992 153.234 100.4966; 
RShdAng_X, 14.8488 39.0793 -9.1592;   
RShdAng_Y, 14.0944 24.9611 4.8032;    
RShdAng_Z, 18.0697 64.4622 5.9134;    
RElbAng_X, 110.9352 143.0354 99.2324; 
RElbAng_Y, 0 0 0;                     
RElbAng_Z, 0 0 0;                     
RWrsAng_X, 20.8928 27.6445 -88.7175;  
RWrsAng_Y, 22.6033 80.3943 13.6784;   
RWrsAng_Z, 119.8645 130.617 56.6399;  
LNecAng_X, -5.2553 7.0676 -22.1635;   
LNecAng_Y, 4.0466 11.7155 -5.0941;    
LNecAng_Z, -2.7216 3.2136 -10.2728;   
RNecAng_X, -5.2553 7.0676 -22.1635;   
RNecAng_Y, -4.0466 5.0941 -11.7155;   
RNecAng_Z, 2.7216 10.2728 -3.2136;    
LSpnAng_X, 6.8202 22.4931 -0.26542;   
LSpnAng_Y, 2.2996 5.7591 -1.1825;     
LSpnAng_Z, 9.1645 17.1135 -0.36011;   
RSpnAng_X, 6.8202 22.4931 -0.26542;   
RSpnAng_Y, -2.2996 1.1825 -5.7591;    
RSpnAng_Z, -9.1645 0.36011 -17.1135;  
LHedAng_X, -2.5957 15.7388 -24.2754;  
LHedAng_Y, -4.973 7.2644 -13.0994;    
LHedAng_Z, -7.5916 17.5944 -33.5691;  
RHedAng_X, -2.5957 15.7388 -24.2754;  
RHedAng_Y, 4.973 13.0994 -7.2644;     
RHedAng_Z, 7.5916 33.5691 -17.5944;   
LThoAng_X, 8.2515 24.5168 1.5602;     
LThoAng_Y, -1.6921 3.2725 -7.1754;    
LThoAng_Z, -9.7841 11.6932 -33.6968;  
RThoAng_X, 8.2515 24.5168 1.5602;     
RThoAng_Y, 1.6921 7.1754 -3.2725;     
RThoAng_Z, 9.7841 33.6968 -11.6932;   
LPlvAng_X, 2.0619 7.991 -4.251;       
LPlvAng_Y, 1.7589 7.3329 -1.9337;     
LPlvAng_Z, -0.71576 17.3657 -19.9423; 
RPlvAng_X, 2.0619 7.991 -4.251;       
RPlvAng_Y, -1.7589 1.9337 -7.3329;    
RPlvAng_Z, 0.71576 19.9423 -17.3657;  
COfM_X, 136.5469 255.1288 31.4247;    
COfM_Y, 225.0567 268.8711 159.0774;   
COfM_Z, 1110.598 1145.7131 1053.8932; 
PC1_Head, 0 -8.6122 0;                
PC2_Head, 0 4.6186 0;                 
PC3_Head, 0 -3.5839 0;                
PC4_Head, 0 -3.2625 0;                
PC5_Head, 0 -3.3705 0;                
PC6_Head, 0 2.157 0;                  
PC7_Head, 0 0.45435 0;                
PC8_Head, 0 0.39203 0;                
PC9_Head, 0 -0.19048 0;               
PC10_Head, 0 -0.079503 0;             
PC11_Head, 0 -0.054768 0;             
PC12_Head, 0 -0.0397 0;               
PC13_Head, 0 0.01853 0;               
PC14_Head, 0 0.01914 0;               
PC15_Head, 0 0.014924 0;              
PC16_Head, 0 0 0;                     
PC17_Head, 0 0 0;                     
PC18_Head, 0 0 0;                     
PC1_LBody, 0 6.7146 -5.0296;          
PC2_LBody, 0 8.8037 -2.7314;          
PC3_LBody, 0 3.7709 -2.6387;          
PC4_LBody, 0 3.0674 -3.7692;          
PC5_LBody, 0 2.9592 -2.6439;          
PC6_LBody, 0 2.4389 -1.8293;          
PC7_LBody, 0 2.0839 -2.1178;          
PC8_LBody, 0 1.3479 -1.1955;          
PC9_LBody, 0 0.60273 -0.7244;         
PC10_LBody, 0 0.65655 -0.70196;       
PC11_LBody, 0 0.61841 -0.96494;       
PC12_LBody, 0 0.44496 -0.34245;       
PC13_LBody, 0 0.34202 -0.43034;       
PC14_LBody, 0 0.16046 -0.14003;       
PC15_LBody, 0 0.1382 -0.11658;        
PC16_LBody, 0 0.11823 -0.12758;       
PC17_LBody, 0 0.10283 -0.090374;      
PC18_LBody, 0 0.095266 -0.13681;      
PC19_LBody, 0 0.076352 -0.081632;     
PC20_LBody, 0 0.067873 -0.058872;     
PC21_LBody, 0 0.031356 -0.030172;     
PC1_RBody, 0 4.8619 -5.6705;          
PC2_RBody, 0 5.2778 -7.6726;          
PC3_RBody, 0 3.9329 -4.9381;          
PC4_RBody, 0 2.5723 -2.8341;          
PC5_RBody, 0 2.4346 -2.1556;          
PC6_RBody, 0 2.2732 -2.0081;          
PC7_RBody, 0 2.1388 -1.258;           
PC8_RBody, 0 1.464 -0.68208;          
PC9_RBody, 0 1.2175 -0.70532;         
PC10_RBody, 0 0.50595 -0.66709;       
PC11_RBody, 0 0.66105 -0.52243;       
PC12_RBody, 0 0.3536 -0.24067;        
PC13_RBody, 0 0.25221 -0.2376;        
PC14_RBody, 0 0.17829 -0.2415;        
PC15_RBody, 0 0.16238 -0.16122;       
PC16_RBody, 0 0.12902 -0.12401;       
PC17_RBody, 0 0.12375 -0.092172;      
PC18_RBody, 0 0.069849 -0.061212;     
PC19_RBody, 0 0.050322 -0.080789;     
PC20_RBody, 0 0.036142 -0.027686;     
PC21_RBody, 0 0.017193 -0.016987;     
PC1_LLeg, 0 6.3233 -6.4239;           
PC2_LLeg, 0 8.16 -4.7067;             
PC3_LLeg, 0 4.8056 -5.164;            
PC4_LLeg, 0 3.4827 -4.4276;           
PC5_LLeg, 0 4.8903 -2.7159;           
PC6_LLeg, 0 1.5975 -5.6874;           
PC7_LLeg, 0 1.6653 -2.0848;           
PC8_LLeg, 0 4.1353 -2.237;            
PC9_LLeg, 0 0.85878 -3.1691;          
PC10_LLeg, 0 0.91218 -1.3191;         
PC11_LLeg, 0 0.64906 -0.90692;        
PC12_LLeg, 0 0.92042 -0.62651;        
PC13_LLeg, 0 0.53859 -0.67275;        
PC14_LLeg, 0 0.98904 -0.6005;         
PC15_LLeg, 0 0.47061 -0.48195;        
PC16_LLeg, 0 0.30498 -0.30512;        
PC17_LLeg, 0 0.29918 -0.18367;        
PC18_LLeg, 0 0.15088 -0.15842;        
PC19_LLeg, 0 0.1401 -0.17128;         
PC20_LLeg, 0 0.11231 -0.080987;       
PC21_LLeg, 0 0.089974 -0.14409;       
PC22_LLeg, 0 0.077224 -0.055174;      
PC23_LLeg, 0 0.073626 -0.063081;      
PC24_LLeg, 0 0.048255 -0.040755;      
PC25_LLeg, 0 0.035881 -0.040901;      
PC26_LLeg, 0 0.036397 -0.027285;      
PC27_LLeg, 0 0.02707 -0.026385;       
PC1_RLeg, 0 6.0912 -6.1287;           
PC2_RLeg, 0 6.7848 -4.5842;           
PC3_RLeg, 0 5.5804 -4.63;             
PC4_RLeg, 0 4.5565 -4.5102;           
PC5_RLeg, 0 3.551 -3.8328;            
PC6_RLeg, 0 6.1212 -1.1296;           
PC7_RLeg, 0 2.9372 -2.1169;           
PC8_RLeg, 0 2.1294 -1.6873;           
PC9_RLeg, 0 3.0259 -1.7467;           
PC10_RLeg, 0 3.3615 -0.85754;         
PC11_RLeg, 0 0.96699 -0.82357;        
PC12_RLeg, 0 0.82407 -0.65433;        
PC13_RLeg, 0 0.40664 -0.74594;        
PC14_RLeg, 0 0.98854 -0.48139;        
PC15_RLeg, 0 0.55731 -0.49948;        
PC16_RLeg, 0 0.26867 -0.37056;        
PC17_RLeg, 0 0.3984 -0.19975;         
PC18_RLeg, 0 0.14367 -0.22273;        
PC19_RLeg, 0 0.095752 -0.13018;       
PC20_RLeg, 0 0.115 -0.11299;          
PC21_RLeg, 0 0.073891 -0.12674;       
PC22_RLeg, 0 0.091227 -0.070873;      
PC23_RLeg, 0 0.12188 -0.088443;       
PC24_RLeg, 0 0.043741 -0.047099;      
PC25_RLeg, 0 0.030366 -0.03675;       
PC26_RLeg, 0 0.022051 -0.022444;      
PC27_RLeg, 0 0.032503 -0.024805;
