 1,  0.30779     -0.1225    -0.16348    0.013093      0.3042    0.031155    -0.03921     0.18025    0.072129    0.086362      0.1327    0.056403    -0.40069     0.37472     0.11282   -0.091523     -0.1497     0.13208    -0.01265    -0.58322   -0.011819;
 2, 0.072725    0.092633     0.46275     0.38079     0.16027   -0.056758   -0.047824    0.060448    0.032772    0.044364    -0.04685   -0.078747    -0.15843   -0.071793    -0.46737    -0.50613   -0.071725    0.034234    -0.21039    0.072162     0.14165;
 3, -0.12085     0.27188    -0.22289     0.02529    -0.15876     0.44535     -0.4847     0.47731    0.088027    -0.29199    0.072927     0.14071    0.037765    -0.12387   -0.011662    -0.16748    -0.10718   -0.015837   0.0039729   0.0033279   0.0048594;
 4,  0.31922    -0.16857    0.014059   -0.079664     0.14052    0.079833   -0.093276     0.15252   -0.024447    0.056256    0.098794     0.16798    -0.15671     0.36744     0.16066    -0.11221      0.2492     -0.3312   -0.020379     0.62701   0.0017209;
 5, 0.006647     0.16088     0.35231     0.45694     0.27695    -0.12309   -0.026436    0.026616     0.11176    -0.18596    0.056965     0.37221      0.1901     -0.0216     0.42695     0.30301    -0.19492   -0.084057    0.026024   -0.015648    0.048603;
 6,  0.13874     0.28656     0.15741    -0.16598     0.13737    -0.42254    -0.31854     0.35787    -0.21157    -0.12943    -0.18307    -0.35659   -0.053408    0.069031    -0.10838     0.36515     0.19783    0.058319    0.019983  -0.0096488   -0.037945;
 7,  0.32796   -0.088486    -0.11052   -0.057178     0.27929    0.043064   0.0010557     0.11432    0.026531     0.18024     0.15823   -0.070049     0.17244    -0.33079    0.047602   0.0092574    -0.21698     0.62825     0.12811     0.33614    -0.01944;
 8,  -0.2216    -0.28467     0.15984      0.1069     0.11364    0.090466    -0.11774    0.054352   -0.073477     0.02454     0.29752   -0.026801   -0.023527   -0.033157     -0.1731      0.1475    0.024669   -0.025695    -0.10688  -0.0065673      -0.796;
 9,-0.041317     0.38915    0.016859    -0.10792   -0.052716    -0.04814    -0.12713   -0.068843    0.092407      0.4698     0.31464     0.12967     0.44051     0.44512    -0.24261    0.037672   -0.096647    0.023606    -0.02577   -0.027345   0.0096339;
10,   0.3382   -0.095334   -0.082758   -0.058556     0.18944    0.019482   0.0055313     0.14413   -0.024731     0.20659     0.12736    -0.08141     0.35403    -0.46065   -0.027475    -0.03232     0.12741    -0.53381      -0.145    -0.27813    0.064391;
11, -0.19584    -0.31208      0.1458     0.12897    0.022132    0.030216    -0.13768    0.084808   -0.059971    0.024309     0.32485     0.06712     0.02272   -0.017229    -0.16485    0.063909        0.41      0.0866     0.58122    -0.12452     0.35156;
12, -0.24799     0.27781       0.116    0.016791   -0.020064   -0.012345   -0.079087   -0.054941   -0.058302     0.28832     0.35105    -0.42444    -0.24175    -0.13704     0.55383    -0.23679     0.07617     -0.0358  -0.0030219    0.024688    0.010947;
13,  -0.2215    -0.11545     -0.1018    -0.34375     0.22557    -0.50323    -0.23103    -0.12561    -0.23885    -0.23557     0.13054     0.28395     0.09781    -0.06254    0.048172    -0.41462    -0.18935   -0.039945    0.020076  -0.0054044  -0.0038484;
14,  0.25267   -0.020184    -0.24014     0.33864    0.000451    0.063169    -0.57992    -0.60967    -0.15839    -0.02358   -0.061957    -0.12855  0.00050597     0.01098   -0.018475    0.060215    0.032715  -0.0091765    0.011544  0.00012113  -0.0049405;
15,-0.033363     0.15465    -0.39259     0.42625   0.0086377   -0.051896     0.36353     0.17916    -0.63997    -0.07873     0.16957   -0.025523    0.070133     0.10934   -0.067232    -0.03201  0.00073037  -0.0033137   -0.025944    0.060957    0.012249;
16, -0.24626    -0.28525   -0.053176   -0.056802    0.093126    0.048844   -0.093117    0.012169    0.012574   -0.073976     0.29885    -0.18571   -0.098253    0.042096     -0.1121     0.36675    -0.26966   -0.038918    -0.49985     0.12281     0.45272;
17,  0.31426     0.12223     0.15851    -0.14015   -0.072797    0.084223      0.2061    -0.19377     0.12439    -0.61379     0.44404     -0.3055     0.15306     0.13505   -0.052646   -0.082734   -0.031334   -0.026066     0.10186   -0.033388   -0.044446;
18,-0.051582   -0.057856    -0.42108     0.32994    -0.11272    -0.49832    0.012544     0.12981     0.60283    -0.03882     0.11248    -0.12971   -0.008647   -0.010405   -0.051881   -0.052667    0.094734     -0.0514    0.016349     0.10883   -0.077629;
19, -0.19715    -0.31441    0.022745     0.10458     0.19651     0.12946   -0.050459     0.13431    0.023955   -0.043733    -0.33549    -0.43061     0.50026     0.34827     0.20548    -0.22773   -0.073707    0.016264     0.04466   -0.032147   0.0061644;
20,  0.19452    -0.23063     0.16014    0.062267    -0.49834     -0.1642   -0.093624     0.16426    -0.14799     0.14829    0.025244     -0.1065   -0.063093   0.0088945    0.013351    0.029662    -0.59524     -0.2225     0.31928    0.037837   -0.015003;
21, -0.19694     0.22971    -0.16486   -0.061236     0.49617     0.14886     0.10321    -0.11449     0.11253     0.02729   -0.094089    -0.15484    -0.19711   -0.038051    -0.23558     0.10853    -0.30859    -0.33916     0.44841      0.1402   -0.024716;
