 1,  0.29863    -0.11183    -0.14885   0.0040586     0.07901   -0.047167    0.050926    0.051068   -0.038207    0.062561    0.069739    -0.07272   0.0032962    0.054053    0.085457    0.014638     0.17057     0.18879   -0.013302      0.2467     0.29457     0.22305   -0.034512    -0.47283  -0.0018374   -0.051449     0.58889;
 2, 0.084072    0.015412     0.23282     0.46374    -0.22853     0.19954    0.068631     0.19609  -0.0003652   0.0038535  -0.0092582      0.0213    0.094476     0.21302    -0.18457     0.22759     0.20506     0.47674     0.26401     -0.1328   -0.037398     0.10502     -0.1587   -0.042401     -0.1279    0.091332    -0.16349;
 3, 0.022778    -0.32978   -0.079337     -0.1517    -0.22603    0.086347     0.15724    -0.27957     -0.1691     0.30552    -0.46483    0.025407     0.56808    0.064024   -0.052731     0.13259   -0.017524     -0.1068    0.036321  -0.0033051    0.012873    0.013446   -0.011668    0.013175    0.017957   -0.010984    0.003739;
 4,  0.31216    -0.11436   -0.048028   -0.048843    0.064367    -0.09153  -0.0099224       0.166    0.023129    -0.16367    0.040202    0.079679     0.16723    -0.20482     0.10543    -0.14184     0.26348    -0.21241     0.21754    -0.70916    -0.05009     0.10559     0.13301   -0.094871    0.039354   -0.035227    0.016243;
 5, -0.15038    -0.24674    0.014711      0.3524    0.031812     0.28356   -0.028751   0.0038032     0.05291     0.57671      0.2518    0.077847   -0.048108    -0.39866     0.32687    -0.17618   -0.034153   -0.046147    0.024595  -0.0012626    0.010585    0.011291   -0.021853  -0.0044404   -0.023916    0.015232    -0.02033;
 6,  0.20888   -0.015625     0.17551    0.023328     -0.4389   -0.035875      0.1046     0.12073     -0.1805    -0.41781   -0.012304      0.1439     0.11143    -0.53034     0.26772    0.051349    -0.10952    0.038669   -0.073626     0.28595    0.015627   -0.048599   -0.050819    0.050933   -0.017069    0.012604   -0.020939;
 7,  0.26859   -0.072472    -0.24494    0.068693  0.00034852   -0.010796   -0.077046     0.16432    0.059571    0.042439    0.069337   -0.075235    0.079449    0.020768    -0.13014   -0.063251    0.042751    -0.12366    -0.30897   -0.041109    -0.20407    -0.22149    -0.74157     0.13859    0.014438    0.039442    0.073894;
 8, -0.11412    -0.15058    0.064893      0.3295    0.070284    -0.71585    -0.38029   -0.062121      -0.393    0.072417   -0.059218   -0.041345    0.046658   -0.035678   -0.029859   -0.064711  -0.0026386    0.052396     0.03064   0.0099497    0.041003    0.026685   -0.040138   0.0067837   -0.032838    0.023757   -0.052468;
 9, -0.13591    -0.30683    -0.18112    -0.14517   0.0039219    -0.03798   -0.027302   -0.096534   -0.034321  -0.0074285      0.1537    0.068987    -0.30822    -0.29092    -0.21196     0.72673     0.14199    -0.01871   -0.025893   -0.092271   -0.059341    0.070266   -0.033952    -0.01679   0.0050408   -0.003184  -0.0066844;
10,  0.28446    -0.09015    -0.20845    0.038076    0.056397   -0.030803   0.0062507    0.069969  -0.0048066     0.02874    0.035173    -0.12052   -0.035828     0.10606     0.10688     0.13407    -0.22091      -0.142     0.14088    0.091937   -0.063108    -0.41178     0.18565    -0.35852    -0.44973     0.29687    -0.27249;
11,  0.15783    -0.14494     0.34739     0.11545    0.016529    0.010587     0.13904    0.040272  -0.0046805  -0.0072774 -0.00070262    0.052254    -0.17371     0.19333   -0.061663    0.039007     0.10723    -0.58223    -0.11641     0.11901     0.39119     0.32805    -0.12393    0.040564    -0.10815    0.069933    -0.22496;
12, -0.13597    -0.27303   -0.083485     -0.1705    -0.23095    0.088051    -0.39183     0.19578   -0.025254   -0.079167     0.20565     0.60008    0.049109     0.41194     0.16627   -0.039153   -0.010912 -0.00066141   -0.051912    0.030428  -0.0039496   -0.021874    0.039589   -0.025542   -0.010365 -0.00040155    0.028864;
13,  0.26405   -0.088567    -0.24057    0.056789  0.00066349   -0.033212   -0.091242       0.227     0.09356    0.066565     0.16035    -0.17463     0.14668    0.040868   -0.059387    0.077745    -0.14119    0.032627    0.021956     0.21526    0.018274     0.16974     0.17743   -0.030167     0.59536    -0.18071    -0.42634;
14,-0.050072    -0.28776     0.11083     0.21958     0.33784    0.078946    0.088781     0.16888    0.018528    -0.22705    -0.25888     0.03175   -0.065985    0.094469     0.12451     0.10509    -0.45238    -0.11033     0.16503    0.035528    -0.41907     0.21333   -0.056972   0.0013192    0.073461    -0.05495     0.24405;
15, -0.22818    0.065969    -0.11916    -0.21087    -0.12025    -0.11404     0.29827     0.67267    -0.30152      0.2631    -0.19353    -0.02604    -0.19281   -0.013528    -0.04279   -0.086214     0.17266    -0.08261     0.12296    0.089619    -0.10406  -0.0077949    0.017535 -0.00092253  -0.0085642  -0.0074739   0.0016305;
16,  0.30328    -0.11444    -0.10526   -0.029922    0.086493   -0.097823    -0.03504     0.16319     0.15366     0.12007    0.039821   -0.038156    0.059301    0.011967  -0.0077712    0.066781  -0.0027007     0.14253    -0.01226     0.10183    0.059792      0.1124     0.28909      0.7041    -0.36352    -0.02808     0.17169;
17, -0.13484    -0.26292    0.042654     0.29519     0.25423     0.16884     0.05518     0.19197   -0.032499    -0.22004    -0.17163   0.0070063    0.090777   -0.031455    -0.15004  -0.0027976     0.25151    0.013134    -0.37406   0.0086151     0.20972    -0.47451     0.28521    0.010367      0.1258   -0.083751    0.055699;
18,-0.047324    -0.32969  -0.0074936   -0.050299    -0.32393    -0.14719     0.26103    0.027376    0.084733   0.0040087    0.014603    -0.19246    -0.25565     0.10806  -0.0039897    -0.15145    -0.42962     0.26119    -0.29119    -0.38794     0.23707    0.021216    0.010029   -0.026744    0.016718    0.026405  -0.0065014;
19,  0.19457     0.25988      0.1993    0.051826   -0.068281   0.0064733    -0.10065    0.056839    -0.10394     0.24356   -0.061932    0.064607    0.013089    0.019673   0.0017987     0.15084  -0.0097469   -0.012378     -0.6306    -0.11663    -0.40065     0.20523     0.28213    -0.17706   -0.036745    0.070538    0.035454;
20,-0.028026     0.20069     -0.2519     0.25128     0.11306    -0.26849     0.54507   -0.085628    0.032489    0.027218     0.23148     0.54167     0.17352   0.0035051     -0.1898    0.012195    -0.15335   -0.032258   -0.040748  -0.0020632    0.020899   0.0070964    0.031827   -0.010364   0.0048316 -3.0777e-07    0.010293;
21,0.0003255     0.13936    -0.33828     0.23357     -0.1765   -0.082907    -0.18139  0.00040275     0.44044   0.0058365    -0.57338     0.19962    -0.24861    -0.10549    0.080322  -0.0025766    0.077484   -0.038217 -0.00026026    0.013253     0.11878     0.09164    0.020313   -0.012598    0.097752     0.24149  -0.0055301;
22,  0.19586     0.13732      0.2202     0.16522    -0.32396    -0.10627   -0.011024   -0.051322    0.036242     0.20862    0.053288  -0.0019461    -0.18561     0.16538    0.016541     0.21335   -0.080659    -0.26452     0.22916   -0.070134  -0.0050823    -0.43079     0.10034     0.10333      0.2758    -0.22994     0.35147;
23, -0.14001   0.0045407     0.34834    -0.18076    0.022805    -0.14824    -0.18845     0.30541       0.456      0.1269    0.031038    0.044236     0.30306    -0.25052    -0.39158    0.039107    -0.23499   -0.042684    0.055367     0.03345     0.11844    -0.04657   -0.033924    -0.19482   -0.075649    0.071716     0.10607;
24,   0.1738    -0.12888     0.27847    -0.22051     0.22386    -0.11064     0.13901   -0.051485   -0.013226     0.11169    0.016006     0.14044   -0.069951      0.0293     0.11907  -0.0010428     0.10705      0.1983    0.047071    0.041771   -0.036377    -0.13754   -0.025724     0.12518     0.39026     0.66807    0.013877;
25,-0.036139    -0.34087    0.039128    0.058324    -0.27398    -0.16085     0.14813    -0.18484     0.28922   -0.090998     0.13512    -0.10503   -0.081354    0.029014    -0.22824    -0.31957     0.32917   -0.083755    0.033759     0.24808     -0.4695    0.038569     0.17054   -0.076883   -0.040493    0.017529     0.02675;
