 1,  -0.28532   -0.099326     0.12444    0.032073    -0.14793    0.018681   -0.016595     0.06273    0.029928    0.062987   -0.010145     0.14143    0.041004    0.037009     0.15701    0.063441    -0.10876    0.041045   -0.038458     0.14704    -0.42049   -0.026625    0.074869    -0.27737     0.51821     0.48953    0.064911;
 2, -0.026068    0.092895   0.0058185    -0.53487    -0.17341    -0.17212   -0.098398     0.15792    0.018946    0.023496     0.13284   -0.081542    0.041806     0.29851   -0.018463      0.2234   -0.029543    -0.59621   -0.072535    -0.18727     0.11561    0.041301    0.018276   0.0018661   -0.018295     0.13942     0.10997;
 3, -0.086172    -0.33554    -0.15051   -0.032913     0.27335   0.0027477   -0.038446   -0.030177        -0.3   -0.039889     0.48287   0.0017454     0.60904     -0.1355    -0.16632     0.17264  -0.0035797    0.031507    0.049924   -0.017623  -0.0065646   -0.034517    -0.04128   -0.011412    0.026163    0.001697  -0.0070252;
 4,   -0.2996   -0.050613    0.028722  0.00052811    -0.15753    0.042205    0.086058     0.08358     0.24339    0.084625   -0.037359    -0.15629    0.094571    -0.26452   0.0034635    0.050991     0.21743    0.089442      0.3506    -0.50166   -0.021824     0.43395     0.24977   -0.080571   -0.023782   -0.062529    0.011189;
 5,   0.13356    -0.26169   -0.049934    -0.22302    -0.31461    -0.26405   -0.035332     0.16217    -0.44464    -0.37841    -0.19551    0.036576    -0.11642    -0.46459     0.19384    -0.10553    0.063822   0.0028976    0.033384 -0.00019593    0.012676   -0.020778    -0.02005  -0.0054532    0.012324    0.015383   0.0047646;
 6,  -0.18761    0.075318   -0.085958    -0.36425     0.29586     0.09209  -0.0034613   -0.052146     0.44419   -0.044564    -0.08339    -0.27749    0.013676    -0.53253     0.10995    0.073315   -0.026909   -0.060753    -0.13771     0.23732   -0.010451    -0.20162      -0.115    0.038627   0.0074436    0.024514  -0.0028409;
 7,  -0.24843    -0.11229     0.24514    0.014251   -0.085658    0.025121     0.17594    0.051082     0.05382   -0.076859   -0.059187     0.10119    0.079831    0.017603   -0.078972   -0.028724    -0.13751    0.063994     0.11326     0.20874     0.76599    -0.14432     0.26003  0.00039581     0.11385     0.14092   -0.012562;
 8,   0.11072    -0.13572   -0.063028    -0.18591    -0.46186     0.56822   0.0061393    -0.60802   0.0042771    -0.03743    0.073455   0.0046379      0.0343    -0.02124   -0.025404   -0.057973     0.02404   -0.033417   -0.024455   -0.045819    0.021225   -0.047819   -0.039924    0.017807   0.0029052    0.045136    0.036153;
 9,   0.06091    -0.36958   -0.089777     0.16159    0.074164    0.059599     0.11683   -0.044028    0.025998    -0.12809    -0.22153   -0.047318     -0.3143    0.018857    -0.21521     0.74749   -0.070663   -0.011114    -0.11836    -0.05248    0.020054    0.051059   -0.014318   -0.053661    0.015029  -0.0080403  -0.0065404;
10,   -0.2862   -0.095385     0.12777    0.022222    -0.14384    0.017746   0.0084926    0.065414    0.031463  -0.0080574   -0.031085    0.074396    0.077386    0.074831    0.075963   -0.029571     0.14752    -0.10514    -0.30936    -0.12515      0.0478    -0.15237    -0.26252    -0.31189     0.20261    -0.53562    -0.42097;
11,   0.13238   -0.040855     0.24581    -0.42037    0.078721   -0.081403    0.049815    0.037476    0.032865    0.071035   -0.024573  -0.0097101   -0.024449     0.17863   -0.083318     0.05613     0.20209     0.60933   -0.027246    -0.30156    0.065873    -0.18726    -0.31077   0.0091152    0.079507     0.13958     0.10893;
12,  -0.14153    -0.31059   -0.075716   -0.016901     0.18705    0.014255    -0.46079    -0.12807    0.012816    -0.22937    -0.37863    -0.36128     0.15989     0.39342     0.23893    -0.15289   -0.076224    0.071574    0.054753   -0.014734    0.028665    0.076867    0.065281    0.018419   -0.023319  -0.0043867   0.0078408;
13,  -0.24809    -0.12308       0.226    0.012605    -0.10162    0.036892     0.22874    0.098372     0.10113    -0.23611   -0.075785      0.1459     0.16674     0.10283   -0.033049   -0.026323    0.038505   0.0062857    -0.14115    0.068009    -0.26672    -0.17337    0.048861    -0.14353    -0.67734    0.043247     0.23301;
14,   0.23129    -0.20842      0.1368   -0.096063    -0.15013    -0.22327    0.011887   -0.054201     0.26466     0.10293     0.10957   -0.014525    0.041684  0.00096767    0.021012   -0.015151    -0.44574    0.051048     0.31902     0.24503   0.0022929     0.29113    -0.34346      -0.312    -0.14368   -0.087928    -0.11331;
15,  -0.28763   -0.025855    0.011656    0.027977    0.084824    -0.28447   -0.023193    -0.33858    0.054648    -0.33145     0.43185   -0.036003    -0.42067      0.1214  -0.0016228    -0.03562     0.37232   -0.023977     0.21428     0.15655   0.0035906    0.020245   -0.075645   -0.045158   0.0047191    0.030963  4.0542e-05;
