 1, 0.042814     -0.4147    -0.27836    -0.14042    0.077221   -0.070667    0.015665     0.18266    0.011607     0.27213   0.0020302     0.40885    -0.18322     0.59072     -0.2461  3.8175e-17  3.8175e-17  2.0837e-17;
 2, -0.29897   0.0093554    -0.24197    0.038207    -0.35218    -0.15156   -0.050267    -0.51537    -0.13325     0.46427     0.13743    -0.10216    -0.38938    -0.14491    0.011994  1.3729e-16  1.3729e-16  8.6092e-18;
 3,   0.3406    0.025464   -0.014114    0.011092    -0.20779    -0.18739     0.31065    0.075761    -0.58392    -0.26176     0.53111    0.063642   -0.078071     0.01413   -0.024234 -2.7622e-18 -2.7622e-18 -5.4629e-17;
 4, 0.045297     -0.4185    -0.26866    -0.13596    0.076193   -0.065406   -0.013789    -0.13066    0.058354    -0.23834  -0.0024791    -0.26947     0.12332    -0.36965    -0.64817  1.6457e-16  1.6457e-16  4.8031e-17;
 5, -0.31406   -0.090699     0.11422   -0.029289    -0.36122    -0.13644    -0.04539    -0.40359   -0.088943    -0.33926    -0.14138     0.38186     0.48538      0.2014    -0.01494 -1.5807e-16 -1.5807e-16 -2.4936e-17;
 6,  0.33319    0.076515   -0.034563   -0.091102    -0.20978    -0.20191    -0.13581     0.12397    -0.46153     0.20798    -0.68512    -0.13777    0.087249    -0.02187   -0.048132 -4.6085e-17 -4.6085e-17 -7.2463e-17;
 7, 0.034782    -0.46021   0.0016676    -0.18753    0.056704   -0.062158  -0.0053755     0.13267   -0.054024     0.22739    0.055235     0.37844     0.17175    -0.55861     0.42975 -9.1144e-17 -9.1144e-17 -2.2253e-17;
 8, -0.30999  -0.0059804    -0.18027    0.030336    -0.35496    -0.19788    0.073484     0.50657      0.1138     0.22719     0.21344    -0.36176     0.43839    0.095935    0.030096  -9.548e-17  -9.548e-17  -1.198e-17;
 9,  0.26083     -0.1006    -0.03176   -0.074142      -0.461     0.56777     0.53988   -0.082781     0.23018    0.084624    -0.14574   -0.011376    0.022233  -0.0072034   0.0088464 -2.1062e-18 -2.1062e-18  7.8505e-18;
10, 0.038001    -0.45983   -0.041205    -0.17893    0.059859    -0.05963   -0.019365    -0.18548   -0.025791    -0.26191    -0.05553    -0.51486     -0.1044      0.3148     0.51387 -9.0752e-17 -9.0752e-17 -4.9739e-17;
11, -0.30375    -0.10323     0.17415   -0.037758    -0.34862    -0.16957    0.045853     0.39023     0.11708    -0.37921    -0.22387     0.10311    -0.56223    -0.15926    -0.03052  1.5528e-16  1.5528e-16  3.4041e-17;
12,  0.27702     0.08232   -0.085475    -0.31338    -0.37367     0.25691    -0.71283    0.065327     0.12484    -0.10043      0.2532    0.040888   -0.032803    0.012504    0.016346  2.0206e-17  2.0206e-17  4.6784e-17;
13,  0.32555    0.062196    0.058528  -0.0028069   -0.082934    -0.44916    0.073497    -0.11403     0.39571    0.029728    0.019331     0.03463   0.0034618   0.0033417    0.024898     0.35297     0.35297     0.04828;
14,  0.12855    -0.24821    0.038678     0.61266    -0.10914    0.054171    -0.17217    0.020861   0.0080132 -0.00043847   0.0005507   0.0011838  0.00013762  0.00084271   0.0057959     0.53088     0.53088     0.34389;
15, 0.011559     0.16778    -0.58935     0.11643    0.035219   -0.010118    0.034977    0.023182    0.048506    -0.21446    -0.10428     0.11608  -0.0035842   -0.055835     0.17861 -4.8435e-16 -4.8435e-16     0.61596;
16,  0.32555    0.062196    0.058528  -0.0028069   -0.082934    -0.44916    0.073497    -0.11403     0.39571    0.029728    0.019331     0.03463   0.0034618   0.0033417    0.024898    -0.35297    -0.35297    -0.04828;
17, -0.12855     0.24821   -0.038678    -0.61266     0.10914   -0.054171     0.17217   -0.020861  -0.0080132  0.00043847  -0.0005507  -0.0011838 -0.00013762 -0.00084271  -0.0057959     0.53088     0.53088     0.34389;
18,-0.011559    -0.16778     0.58935    -0.11643   -0.035219    0.010118   -0.034977   -0.023182   -0.048506     0.21446     0.10428    -0.11608   0.0035842    0.055835    -0.17861 -4.2541e-16 -4.2541e-16     0.61596;
